Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance,Q1 Balance,Q2 Balance,Q3 Balance,Q4 Balance
1127,No,Points,Postcard,Medium,1,No,High,2,1,2,No,1062.5,1717,1310,880,343
1128,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,1239.25,694,1514,1799,950
1129,No,Air Miles,Postcard,Medium,1,No,Medium,1,1,2,Yes,1149.25,323,612,1699,1963
1130,No,Air Miles,Postcard,High,1,Yes,Medium,2,2,5,Yes,1327.75,867,1420,1694,1330
1131,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,3,No,862.75,1337,1063,970,81
1132,No,Cash Back,Letter,Low,1,Yes,High,1,1,3,Yes,1118,418,1044,1753,1257
1133,No,Cash Back,Postcard,High,1,No,High,2,1,2,Yes,1201,1309,473,1525,1497
1134,No,Cash Back,Letter,Low,1,No,High,3,1,5,Yes,1131,200,1142,1488,1694
1135,No,Points,Letter,Medium,1,No,Low,1,1,2,No,1813,1901,1947,1771,1633
1136,No,Air Miles,Letter,Medium,1,No,Low,1,2,3,Yes,213.25,106,228,368,151
1137,No,Air Miles,Postcard,High,1,No,Low,1,2,4,No,1045.5,1582,1584,639,377
1138,No,Cash Back,Letter,Medium,1,No,High,1,1,5,Yes,1030.25,126,865,1200,1930
1139,No,Points,Postcard,Medium,1,No,High,2,1,1,No,1838.25,1655,1738,1986,1974
1140,No,Cash Back,Letter,Medium,1,No,Medium,1,2,4,No,1092.75,1046,458,2108,759
1141,No,Points,Letter,Medium,1,No,Low,1,1,3,Yes,185.25,320,2,169,250
1142,No,Points,Letter,Medium,1,No,Low,4,1,4,No,1102,1032,1444,820,1112
1143,No,Points,Postcard,Medium,1,Yes,Medium,2,1,2,Yes,1032.75,474,1166,1133,1358
1144,No,Points,Letter,High,1,No,Medium,1,1,5,No,1065.75,894,584,1225,1560
1145,No,Points,Letter,Medium,1,No,High,2,1,5,Yes,1070,1870,1468,676,266
1146,No,Cash Back,Postcard,Medium,1,No,High,2,2,2,No,1302,828,1220,1006,2154
1147,No,Cash Back,Letter,High,2,No,High,1,1,3,Yes,1330,1490,1278,1445,1107
1148,No,Air Miles,Postcard,Medium,1,No,High,2,1,2,Yes,883,1642,1070,742,78
1149,No,Air Miles,Postcard,Medium,2,Yes,Medium,1,1,4,No,206.25,67,172,429,157
1150,No,Cash Back,Letter,Medium,2,No,Low,2,1,4,No,1111.5,96,1358,1888,1104
1151,No,Cash Back,Postcard,High,2,No,High,2,2,4,Yes,1056.25,870,678,1378,1299
1152,No,Points,Postcard,Low,1,Yes,Medium,1,2,4,No,214.25,204,92,428,133
1153,No,Cash Back,Letter,Medium,1,Yes,High,1,1,4,Yes,1186,2169,927,795,853
1154,No,Air Miles,Postcard,Medium,2,No,High,1,2,4,Yes,952,1752,1167,615,274
1155,No,Cash Back,Postcard,Low,2,Yes,Low,2,1,2,Yes,962.75,856,1126,1423,446
1156,No,Air Miles,Letter,High,1,No,Low,1,1,2,No,1042.5,1980,1164,881,145
1157,No,Points,Letter,Medium,1,Yes,Medium,2,1,5,Yes,1706.5,1613,1644,1933,1636
1158,No,Points,Postcard,Medium,1,No,High,2,2,2,Yes,1113.75,283,1308,2002,862
1159,No,Cash Back,Letter,High,1,No,High,2,1,3,Yes,570,646,527,586,521
1160,No,Points,Postcard,Medium,1,Yes,High,2,2,2,No,970.25,595,694,1266,1326
1161,No,Points,Postcard,Low,2,No,Medium,2,2,3,Yes,995.25,1862,1040,694,385
1162,No,Air Miles,Postcard,Medium,1,No,Low,2,2,3,Yes,909.75,512,451,959,1717
1163,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,1079.25,1739,1243,953,382
1164,No,Cash Back,Letter,Medium,1,Yes,High,3,1,4,Yes,1073.25,1807,1351,824,311
1165,No,Air Miles,Postcard,Low,1,No,Medium,2,1,4,No,1745.25,1668,1876,1917,1520
1166,No,Air Miles,Letter,Low,3,No,Medium,3,1,2,No,1150,843,1162,1223,1372
1167,No,Points,Postcard,Medium,1,No,Medium,1,1,3,Yes,945,1541,1428,749,62
1168,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,4,No,268.25,244,449,173,207
1169,No,Points,Letter,Medium,1,No,High,1,1,2,No,848,1825,813,579,175
1170,No,Points,Postcard,High,1,No,Low,1,1,4,Yes,811.5,937,985,594,730
1171,No,Points,Postcard,Low,2,No,Low,1,1,3,Yes,791.25,45,1338,965,817
1172,No,Cash Back,Letter,Medium,1,No,High,1,1,5,No,990.75,1633,1495,648,187
1173,No,Points,Postcard,High,2,No,Medium,1,2,3,No,1064.5,1678,1461,829,290
1174,No,Air Miles,Letter,Low,1,No,Medium,3,1,1,Yes,1470,2168,1663,1139,910
1175,No,Air Miles,Letter,High,1,No,Low,1,1,4,No,761.75,548,926,950,623
1176,No,Cash Back,Letter,High,1,No,High,3,1,5,No,1125.75,1270,949,1640,644
1177,No,Cash Back,Postcard,Medium,1,No,Low,2,1,2,No,884,621,669,929,1317
1178,No,Cash Back,Postcard,Low,2,No,Low,2,2,2,Yes,1329.25,884,1725,2077,631
1179,No,Air Miles,Letter,Medium,1,Yes,High,1,1,2,No,853,985,984,547,896
1180,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,1491.25,1098,1104,2266,1497
1181,No,Air Miles,Postcard,High,1,Yes,Medium,1,1,5,Yes,1090.75,1646,1303,928,486
1182,No,Points,Postcard,Medium,1,No,Low,2,1,3,No,991.5,1335,1317,711,603
1183,No,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1077,1926,1489,674,219
1184,No,Cash Back,Letter,Medium,2,Yes,High,2,1,4,Yes,1033,583,548,997,2004
1185,No,Cash Back,Letter,Medium,1,No,Low,1,1,4,No,1284.5,106,1845,1497,1690
1186,No,Points,Letter,Low,2,No,High,1,1,4,No,1332,2182,1380,955,811
1187,No,Cash Back,Letter,Medium,1,Yes,Low,1,2,6,No,879,1639,1030,758,89
1188,No,Cash Back,Letter,Medium,1,No,Low,1,1,4,No,191,31,336,272,125
1189,No,Air Miles,Postcard,Medium,1,No,Low,1,2,3,Yes,1189.25,1006,1514,1757,480
1190,No,Points,Postcard,Low,1,Yes,Medium,2,1,3,No,1099.5,313,1447,2024,614
1191,No,Cash Back,Postcard,High,1,No,Low,1,1,2,Yes,1097.5,777,407,1832,1374
1192,No,Cash Back,Letter,High,1,No,Low,1,1,4,No,1293.5,772,564,1701,2137
1193,No,Points,Letter,Medium,1,No,Low,3,1,2,No,1096.5,672,1055,1154,1505
1194,No,Cash Back,Postcard,Medium,2,No,Low,1,2,3,Yes,193.5,249,129,295,101
1195,No,Air Miles,Postcard,Medium,2,No,Low,1,1,5,No,1041.25,247,1186,1792,940
1196,No,Air Miles,Letter,Medium,1,No,High,2,2,2,Yes,1055.75,470,1379,1026,1348
1197,No,Air Miles,Postcard,Medium,1,No,Low,1,1,6,No,920.5,895,934,905,948
1198,No,Air Miles,Letter,High,1,No,High,3,2,3,Yes,684,822,635,608,671
1199,No,Air Miles,Letter,Medium,1,No,High,2,2,4,No,412,495,269,496,388
1200,No,Points,Postcard,High,2,No,Medium,1,1,4,No,729.75,592,624,743,960
1201,No,Points,Letter,Low,1,Yes,High,2,1,3,Yes,1213,724,1631,2096,401
1202,No,Cash Back,Letter,Medium,2,No,High,1,2,4,Yes,698.5,995,502,718,579
1203,No,Air Miles,Letter,Low,1,No,Medium,1,2,2,No,994.5,1873,1290,722,93
1204,Yes,Points,Letter,Low,1,Yes,Low,3,1,4,Yes,1086.75,509,1035,1232,1571
1205,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,3,Yes,1148.5,321,1117,1191,1965
1206,No,Points,Postcard,Medium,1,No,Medium,2,1,2,Yes,1537.5,1412,1069,2272,1397
1207,No,Air Miles,Letter,High,1,No,Medium,2,2,2,Yes,1046,1239,1164,742,1039
1208,No,Points,Postcard,Medium,1,No,Low,1,1,4,Yes,1205.75,1493,430,2001,899
1209,No,Air Miles,Letter,Medium,2,No,Medium,3,2,2,Yes,1013.75,1745,919,1161,230
1210,No,Cash Back,Postcard,High,1,No,Medium,1,1,5,Yes,1109.75,1916,1489,957,77
1211,No,Points,Letter,Low,1,No,High,2,1,4,Yes,279.75,225,173,377,344
1212,No,Cash Back,Postcard,Medium,1,Yes,High,1,2,6,Yes,924.25,1799,1136,560,202
1213,No,Cash Back,Letter,Low,1,No,Medium,2,1,1,Yes,1796,1560,1771,1898,1955
1214,No,Cash Back,Postcard,Medium,1,No,High,2,1,2,Yes,1288.5,345,1274,1783,1752
1215,Yes,Air Miles,Postcard,Medium,1,Yes,High,1,1,4,Yes,1102.75,959,844,1432,1176
1216,No,Cash Back,Postcard,High,1,No,Low,3,2,1,No,1330.25,1297,1681,1511,832
1217,No,Points,Letter,Medium,1,Yes,High,2,1,2,Yes,199.25,277,73,261,186
1218,No,Air Miles,Postcard,Medium,1,Yes,Medium,2,1,3,Yes,1183,556,1156,1689,1331
1219,No,Air Miles,Letter,Medium,1,No,High,1,1,4,Yes,942.75,1595,1203,873,100
1220,No,Cash Back,Postcard,Medium,1,No,Low,2,2,5,Yes,920.5,590,834,1703,555
1221,No,Air Miles,Postcard,Medium,1,No,Low,1,2,4,Yes,321.5,361,396,313,216
1222,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,No,943.75,116,1008,938,1713
1223,No,Points,Postcard,High,1,No,Medium,2,1,4,Yes,1275.5,794,1333,889,2086
1224,No,Air Miles,Letter,Medium,1,No,Low,1,1,3,Yes,814.75,980,692,844,743
1225,No,Cash Back,Letter,Medium,2,No,Medium,2,1,3,No,956.25,132,612,1666,1415
1226,No,Points,Postcard,Medium,1,No,Low,1,1,5,No,329.75,377,70,382,490
1227,No,Cash Back,Postcard,Medium,2,No,High,2,1,4,Yes,1466.25,871,1369,1965,1660
1228,No,Points,Letter,Medium,1,No,High,2,1,3,No,361,492,425,212,315
1229,No,Air Miles,Postcard,Medium,1,No,High,1,1,5,No,362.75,468,203,386,394
1230,No,Points,Postcard,Low,1,No,Low,2,2,5,Yes,1071,773,910,1716,885
1231,No,Air Miles,Letter,Medium,1,No,Low,2,1,3,Yes,832.25,55,796,1005,1473
1232,No,Points,Postcard,High,2,No,Medium,3,1,5,No,1153.75,846,747,1685,1337
1233,No,Cash Back,Postcard,High,1,No,Low,2,1,2,No,742.25,986,599,727,657
1234,No,Cash Back,Postcard,High,1,No,Low,1,1,5,Yes,1305.75,1866,991,1386,980
1235,No,Points,Postcard,Low,1,No,High,1,1,3,No,140.75,11,4,315,233
1236,No,Air Miles,Letter,Medium,1,Yes,Low,1,1,3,Yes,1378.25,919,1070,2193,1331
1237,No,Points,Postcard,Medium,1,No,Low,2,2,2,Yes,1042.5,1431,989,1063,687
1238,No,Cash Back,Letter,Medium,1,No,Low,2,2,3,No,1143.5,645,620,1255,2054
1239,No,Points,Postcard,Medium,1,Yes,Medium,1,1,5,Yes,1078.5,570,1744,1284,716
1240,No,Points,Letter,Low,1,Yes,Medium,1,1,2,Yes,1126.75,734,1117,1713,943
1241,No,Air Miles,Postcard,Medium,1,No,High,3,1,5,Yes,1303.5,837,1272,1714,1391
1242,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,1162.5,1570,1402,1334,344
1243,No,Points,Letter,Medium,1,No,High,2,1,5,No,730,788,532,903,697
1244,No,Air Miles,Postcard,Medium,1,No,High,3,1,6,No,1351.5,836,1353,1626,1591
1245,No,Points,Letter,Medium,2,No,Medium,3,1,3,No,910.5,601,1058,1372,611
1246,No,Cash Back,Letter,Medium,1,No,Medium,1,1,4,Yes,1112.25,604,1225,1345,1275
1247,No,Cash Back,Letter,Low,2,No,Medium,1,1,2,Yes,1130.25,1041,698,972,1810
1248,No,Cash Back,Letter,High,2,No,Low,3,1,3,Yes,1055.75,957,451,1209,1606
1249,No,Cash Back,Letter,Medium,1,No,High,4,2,5,Yes,784.75,551,992,653,943
1250,No,Cash Back,Letter,Medium,1,Yes,High,1,1,4,Yes,1194.25,978,822,1648,1329
1251,No,Air Miles,Postcard,High,1,No,Low,1,2,3,Yes,1353.25,2006,1798,1285,324
1252,No,Cash Back,Letter,Medium,1,No,Medium,2,1,3,Yes,273.25,153,437,444,59
1253,No,Cash Back,Letter,Medium,2,No,Low,1,1,3,Yes,1284.75,860,1220,1816,1243
1254,Yes,Air Miles,Letter,Low,2,No,Medium,2,2,4,No,332,485,230,320,293
1255,No,Points,Postcard,High,1,No,Medium,1,1,5,Yes,226,243,195,213,253
1256,No,Cash Back,Postcard,Medium,1,Yes,Medium,2,1,4,Yes,221.5,210,35,215,426
1257,No,Points,Letter,Low,1,No,High,2,1,5,Yes,1125.5,760,1130,1025,1587
1258,No,Points,Letter,Medium,2,No,Medium,2,2,3,Yes,1311,351,1355,1736,1802
1259,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,No,216.75,109,358,57,343
1260,No,Air Miles,Letter,High,1,No,High,2,1,4,Yes,1142.25,826,1447,1759,537
1261,No,Air Miles,Letter,High,1,No,High,3,1,4,Yes,1008.5,1236,1074,815,909
1262,No,Cash Back,Postcard,Medium,1,No,High,2,1,4,Yes,1689.75,1642,1603,1543,1971
1263,No,Cash Back,Postcard,Medium,2,No,Medium,1,1,5,Yes,232.75,301,232,209,189
1264,No,Points,Letter,Low,1,No,High,1,1,3,Yes,903.75,1639,1011,868,97
1265,No,Cash Back,Letter,High,1,No,Medium,2,1,4,Yes,341.75,356,298,453,260
1266,Yes,Points,Letter,Medium,2,Yes,Medium,1,1,3,No,988.75,721,1051,1103,1080
1267,Yes,Air Miles,Letter,High,1,Yes,Low,2,2,4,Yes,1322.5,610,1296,2114,1270
1268,No,Cash Back,Letter,High,1,Yes,High,1,1,5,No,1080,758,989,1380,1193
1269,No,Points,Postcard,Medium,2,No,Medium,2,2,5,Yes,1051.25,1960,1095,980,170
1270,No,Air Miles,Letter,Low,1,No,Medium,3,1,2,Yes,156,140,102,197,185
1271,No,Air Miles,Letter,Low,1,Yes,Medium,2,2,1,No,681.75,643,689,637,758
1272,No,Cash Back,Letter,High,1,No,High,2,2,4,Yes,983.25,1681,1274,605,373
1273,No,Air Miles,Letter,Medium,1,No,Low,1,1,6,Yes,823.5,612,918,926,838
1274,No,Cash Back,Letter,Medium,2,Yes,Low,1,1,4,No,585.75,558,533,722,530
1275,Yes,Points,Postcard,Low,1,No,Low,3,1,4,No,677.5,857,719,536,598
1276,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,986.5,1650,1386,716,194
1277,No,Points,Letter,Medium,1,No,Medium,1,1,5,Yes,1056.25,856,825,1980,564
1278,No,Points,Letter,Low,2,No,Low,3,1,5,No,1094.25,812,1105,1942,518
1279,No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,1301.5,736,1529,1833,1108
1280,No,Air Miles,Postcard,Medium,2,No,Low,4,1,5,No,833.5,269,577,897,1591
1281,No,Cash Back,Postcard,Low,1,No,High,3,1,2,Yes,867,934,912,941,681
1282,No,Air Miles,Letter,Low,1,No,High,2,1,4,Yes,1027,1977,1009,841,281
1283,No,Air Miles,Postcard,Low,1,No,Low,2,1,4,No,407.75,439,362,440,390
1284,No,Air Miles,Postcard,Low,1,No,Medium,2,1,3,No,182.25,167,459,60,43
1285,No,Cash Back,Postcard,Low,1,No,High,2,1,2,Yes,665,849,530,622,659
1286,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,4,Yes,313.75,497,179,393,186
1287,Yes,Air Miles,Postcard,Medium,2,No,Medium,1,1,4,Yes,702.25,527,845,748,689
1288,No,Cash Back,Letter,Medium,1,No,Low,2,1,4,No,227.75,137,189,199,386
1289,Yes,Cash Back,Postcard,Low,2,No,Low,2,1,6,Yes,1010,1392,1703,640,305
1290,No,Points,Postcard,Low,1,No,Low,2,1,3,No,917.5,592,690,1064,1324
1291,No,Air Miles,Postcard,Medium,1,No,High,1,3,3,No,1012,1862,1133,632,421
1292,No,Points,Postcard,Medium,1,No,Medium,1,1,2,Yes,753.25,694,755,784,780
1293,No,Air Miles,Postcard,High,1,No,High,1,1,2,Yes,199,183,360,133,120
1294,No,Points,Letter,Low,1,No,High,3,1,3,Yes,1062.75,1405,1458,1243,145
1295,No,Cash Back,Postcard,Low,1,No,High,3,1,3,Yes,1293,955,1362,1261,1594
1296,No,Air Miles,Letter,Medium,2,No,High,3,1,4,No,1305.5,1784,1753,1301,384
1297,Yes,Cash Back,Postcard,Low,1,Yes,Low,1,1,3,Yes,204.75,230,263,169,157
1298,No,Points,Postcard,Medium,1,Yes,High,1,2,3,Yes,1070.5,1962,1207,787,326
1299,No,Points,Letter,High,1,No,High,2,1,4,No,1047.75,1706,1370,554,561
1300,Yes,Air Miles,Letter,Medium,2,No,Low,1,1,4,Yes,1406.5,970,1766,1324,1566
1301,Yes,Cash Back,Postcard,Low,1,No,Low,1,1,3,Yes,288.5,402,372,86,294
1302,No,Points,Letter,Medium,2,No,Low,1,1,3,Yes,1102,317,1414,1793,884
1303,No,Cash Back,Postcard,Low,2,No,Medium,1,1,5,Yes,1038.25,588,929,1905,731
1304,No,Points,Postcard,High,1,No,Low,2,1,3,Yes,1173.75,563,1459,1813,860
1305,No,Cash Back,Letter,High,2,No,Medium,1,2,2,Yes,1032.25,1475,806,1024,824
1306,No,Air Miles,Postcard,Medium,2,No,High,1,1,3,No,1085.25,1069,613,970,1689
1307,No,Cash Back,Letter,Medium,1,No,Low,2,2,5,Yes,1002.25,533,1672,1304,500
1308,No,Points,Postcard,High,1,No,High,1,1,2,Yes,753.75,742,883,589,801
1309,No,Points,Postcard,High,1,No,Medium,2,1,4,No,860.5,493,478,1229,1242
1310,No,Points,Postcard,Medium,2,No,Medium,1,1,3,Yes,282.5,384,206,129,411
1311,No,Air Miles,Letter,Low,1,No,High,1,1,4,Yes,1098.5,1971,1285,866,272
1312,No,Cash Back,Letter,Medium,2,No,High,2,1,3,Yes,847,493,548,1675,672
1313,Yes,Points,Postcard,Low,1,No,High,1,1,3,No,169.5,142,31,100,405
1314,No,Cash Back,Letter,Medium,2,No,Low,3,1,5,No,998,1908,1307,673,104
1315,No,Cash Back,Letter,Low,1,No,Low,2,2,3,No,749.75,731,950,783,535
1316,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,5,No,733,942,803,524,663
1317,No,Air Miles,Letter,Low,1,No,Medium,1,1,3,No,738.25,429,524,1262,738
1318,No,Air Miles,Postcard,High,1,No,Low,1,1,4,Yes,1130.5,570,936,1636,1380
1319,No,Air Miles,Letter,High,1,No,High,1,1,4,Yes,734,751,634,755,796
1320,No,Points,Letter,High,1,No,Medium,2,1,3,No,896.5,919,947,857,863
1321,No,Points,Letter,High,1,No,Medium,1,1,3,No,1250.5,1671,1708,595,1028
1322,No,Cash Back,Letter,Medium,2,No,High,2,1,2,No,1214.5,375,1134,1845,1504
1323,No,Cash Back,Postcard,Low,1,Yes,High,3,1,3,No,1209.5,777,1518,1282,1261
1324,No,Points,Letter,Medium,2,Yes,Medium,2,1,3,Yes,746.75,596,846,1000,545
1325,No,Air Miles,Letter,Low,1,No,Low,2,1,3,Yes,967.25,1543,1270,684,372
1326,No,Cash Back,Letter,High,1,No,Medium,1,1,6,No,1229.25,1824,1203,1000,890
1327,No,Air Miles,Postcard,Medium,2,No,High,4,1,5,Yes,783.75,736,629,921,849
1328,No,Air Miles,Letter,Low,1,No,High,1,2,2,Yes,1094.75,400,941,1782,1256
1329,No,Cash Back,Postcard,Medium,2,Yes,Low,2,1,4,Yes,1050.75,217,452,1363,2171
1330,No,Air Miles,Letter,Medium,1,No,High,3,1,4,Yes,981.75,1438,1373,699,417
1331,No,Air Miles,Postcard,Medium,2,No,High,2,3,3,No,1038.5,609,949,856,1740
1332,No,Cash Back,Letter,Medium,1,No,Low,2,1,4,Yes,159,88,415,33,100
1333,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,1,Yes,1255.25,952,998,1223,1848
1334,No,Points,Postcard,Medium,1,No,High,2,1,4,No,309.25,480,9,441,307
1335,No,Cash Back,Postcard,Medium,1,No,Low,2,1,5,No,335.75,403,402,152,386
1336,No,Points,Postcard,Low,1,No,Medium,2,1,2,No,873,917,766,842,967
1337,No,Cash Back,Letter,High,1,No,Medium,1,2,3,No,981.5,1658,1259,713,296
1338,No,Cash Back,Postcard,Low,1,No,Medium,3,1,4,Yes,659,508,879,726,523
1339,No,Air Miles,Letter,Medium,1,No,Low,2,3,4,Yes,1298.75,1435,1437,1342,981
1340,No,Cash Back,Letter,High,1,No,Low,3,1,6,No,155.25,136,64,82,339
1341,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,250.25,177,450,22,352
1342,No,Air Miles,Letter,Low,2,No,High,3,1,3,No,1112.5,2108,1406,726,210
1343,No,Air Miles,Letter,Medium,1,No,Low,1,1,4,Yes,1136,1711,1195,814,824
1344,No,Cash Back,Postcard,Medium,1,No,Low,2,2,1,Yes,1247.75,1432,1752,1229,578
1345,No,Points,Letter,High,1,No,Low,3,1,2,Yes,1063.25,1689,1091,1134,339
1346,No,Points,Postcard,Medium,2,No,Low,2,2,6,No,1063,173,1365,1285,1429
1347,No,Points,Letter,Medium,2,No,Low,2,1,4,Yes,1107.25,652,896,1884,997
1348,Yes,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,Yes,980,81,887,1468,1484
1349,No,Air Miles,Postcard,High,1,Yes,Medium,1,2,4,Yes,289,467,123,497,69
1350,No,Points,Letter,Low,2,No,High,3,1,4,Yes,751,844,555,637,968
1351,No,Cash Back,Postcard,High,2,No,Low,2,1,2,Yes,1190,1219,1505,1378,658
1352,No,Air Miles,Postcard,High,1,Yes,Medium,2,1,3,Yes,683,642,648,902,540
1353,No,Points,Letter,High,1,No,Medium,2,1,3,Yes,660,534,688,636,782
1354,No,Points,Postcard,High,1,No,High,2,1,2,No,751.75,592,674,946,795
1355,No,Cash Back,Letter,High,2,Yes,Low,3,1,2,Yes,343,327,312,499,234
1356,No,Air Miles,Letter,High,1,No,Low,2,1,6,Yes,973.75,847,1100,1403,545
1357,No,Points,Postcard,Medium,1,No,Low,3,2,4,Yes,839.25,961,964,636,796
1358,No,Cash Back,Postcard,Low,1,No,Medium,2,1,3,Yes,1091,585,1286,1667,826
1359,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,3,Yes,972.5,515,634,845,1896
1360,No,Cash Back,Postcard,Medium,2,No,Low,2,1,4,Yes,730.5,793,794,660,675
1361,No,Points,Letter,Medium,1,No,Medium,2,1,4,Yes,599.25,549,599,655,594
1362,No,Air Miles,Letter,Medium,1,No,Medium,2,1,4,Yes,253.75,448,269,162,136
1363,No,Air Miles,Postcard,Medium,3,No,Medium,2,1,5,Yes,1001.5,701,1001,1810,494
1364,No,Points,Letter,Low,1,No,Medium,1,1,4,Yes,1175.75,151,613,1742,2197
1365,No,Points,Letter,High,1,No,Medium,2,2,3,Yes,1387.25,2047,1537,984,981
1366,No,Points,Letter,Medium,1,No,High,1,1,3,No,217.25,302,161,137,269
1367,No,Points,Postcard,Medium,1,No,High,2,1,1,Yes,1476,1102,1706,1241,1855
1368,No,Cash Back,Letter,Low,1,Yes,Medium,1,1,4,Yes,933,1803,1197,656,76
1369,No,Cash Back,Letter,Medium,1,No,High,1,2,5,No,404.75,436,436,398,349
1370,No,Points,Letter,Low,1,Yes,High,1,1,4,No,803.5,507,837,976,894
1371,No,Cash Back,Postcard,Medium,1,No,Medium,2,1,3,Yes,866,330,892,1451,791
1372,No,Air Miles,Postcard,High,1,No,High,3,1,3,No,922.5,1777,1137,630,146
1373,No,Points,Postcard,High,1,Yes,High,2,1,6,Yes,1117.5,2046,854,1092,478
1374,No,Air Miles,Postcard,Medium,1,No,Low,2,1,3,No,988.25,1498,839,610,1006
1375,No,Cash Back,Postcard,Low,1,No,Medium,3,1,3,No,1041.5,1966,1172,842,186
1376,No,Points,Letter,Medium,1,No,Medium,3,1,3,Yes,1185,692,1488,1739,821
1377,No,Air Miles,Postcard,Medium,1,No,High,3,2,3,Yes,1007,713,1386,1393,536
1378,No,Air Miles,Postcard,High,1,No,High,1,1,1,No,1032.5,1671,1378,885,196
1379,No,Air Miles,Letter,Medium,1,No,Low,2,1,5,No,1332.5,770,1215,2299,1046
1380,No,Cash Back,Letter,Medium,1,No,High,3,1,2,Yes,1047.5,248,1275,1745,922
1381,No,Cash Back,Postcard,High,1,No,High,4,2,3,Yes,722.25,572,983,646,688
1382,No,Cash Back,Letter,Medium,1,No,Low,3,1,3,No,201.75,217,403,69,118
1383,No,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,1081.5,642,843,1198,1643
1384,No,Air Miles,Letter,Medium,2,No,Low,3,2,4,Yes,1009.75,1395,1060,719,865
1385,No,Cash Back,Letter,Low,1,No,High,2,1,2,Yes,1125.5,514,1712,1244,1032
1386,No,Points,Letter,Low,1,Yes,Medium,2,1,3,No,929.75,1544,1375,671,129
1387,Yes,Points,Postcard,Medium,2,No,Low,2,1,3,No,1308.75,95,1873,1431,1836
1388,No,Cash Back,Letter,High,1,No,Medium,3,1,2,Yes,1689,1581,1617,1634,1924
1389,No,Cash Back,Letter,Low,2,No,Low,1,1,4,Yes,1081.5,2081,1046,1120,79
1390,No,Points,Letter,Medium,1,Yes,High,2,1,5,Yes,1085.25,1644,1490,834,373
1391,No,Points,Letter,Medium,2,Yes,Low,1,1,5,Yes,869.75,862,813,932,872
1392,No,Air Miles,Letter,High,2,No,High,2,1,4,Yes,1136.75,1638,1529,1216,164
1393,No,Cash Back,Postcard,Medium,1,No,Low,2,1,3,Yes,153.75,17,131,253,214
1394,No,Cash Back,Letter,Medium,3,No,Low,3,1,5,No,1013.25,1874,1450,625,104
1395,No,Cash Back,Letter,High,1,No,High,1,1,3,No,315.5,211,323,355,373
1396,No,Points,Letter,Low,1,No,Low,2,1,4,Yes,1049.25,264,1380,1229,1324
1397,No,Air Miles,Letter,Medium,2,No,High,1,1,2,Yes,1053.25,696,1250,1371,896
1398,No,Air Miles,Letter,Medium,1,No,Low,3,1,3,No,127.75,82,35,240,154
1399,Yes,Cash Back,Postcard,Low,2,No,Low,1,2,4,Yes,241.75,359,250,335,23
1400,No,Cash Back,Postcard,Low,1,No,Medium,2,2,3,Yes,216,169,483,146,66
1401,No,Air Miles,Postcard,Low,1,No,High,1,1,4,Yes,224.25,256,167,262,212
1402,No,Cash Back,Letter,High,1,No,Low,2,2,3,Yes,1109,1992,1128,863,453
1403,No,Points,Letter,Low,1,No,High,1,1,4,Yes,1325,542,1621,1778,1359
1404,No,Cash Back,Letter,Medium,1,No,High,1,2,3,Yes,762.25,888,965,531,665
1405,No,Cash Back,Postcard,Medium,1,Yes,Medium,1,1,2,Yes,1711,1837,1562,1780,1665
1406,No,Air Miles,Postcard,Low,1,No,Low,1,1,3,Yes,1738.5,1655,1676,1741,1882
1407,No,Points,Postcard,Medium,3,No,Medium,2,1,2,No,1381.5,898,1251,2047,1330
1408,No,Cash Back,Postcard,Low,1,No,Low,3,1,4,Yes,862.75,793,911,843,904
1409,No,Cash Back,Letter,High,1,No,Medium,2,1,4,No,1090.5,1052,446,1005,1859
1410,No,Cash Back,Letter,Low,1,No,Medium,2,2,5,Yes,1723,1761,1793,1712,1626
1411,No,Cash Back,Postcard,Medium,1,Yes,Low,2,1,1,No,920.75,679,1467,857,680
1412,No,Air Miles,Letter,High,1,No,Low,3,1,5,Yes,882.75,939,790,1000,802
1413,No,Air Miles,Letter,Low,2,No,Low,2,2,2,Yes,1302.25,877,574,1699,2059
